# simd reglog — vendor app driving sim/fpga over @simfpga
# columns: op plane sel=val  note
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
R cs1 0039 = 0001  done
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
R cs1 0039 = 0001  done
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done  (x2)
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
R cs1 0039 = 0001  done
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
R cs1 0039 = 0001  done
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done  (x2)
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
R cs1 0039 = 0001  done
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
R cs1 0039 = 0001  done
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done  (x2)
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done  (x2)
W cs1 003e = 0000  config write
R cs1 0039 = 0001  done
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
R cs1 0039 = 0001  done
W cs1 0016 = 0001  cal/level latch strobe
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
W cs1 003e = 0000  config write
R cs1 0039 = 0001  done
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
R cs1 0039 = 0001  done
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
R cs1 0039 = 0001  done
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done  (x2)
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
R cs1 0039 = 0001  done
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done  (x3)
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done  (x2)
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
R cs1 0039 = 0001  done
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
R cs1 0039 = 0001  done
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
R cs1 0039 = 0001  done
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
R cs1 0039 = 0001  done
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done  (x2)
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
R cs1 0039 = 0001  done
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
R cs1 0039 = 0001  done
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
R cs1 0039 = 0001  done
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
R cs1 0039 = 0001  done
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
R cs1 0039 = 0001  done
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
R cs1 0039 = 0001  done
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
R cs1 0039 = 0001  done
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
R cs1 0039 = 0001  done
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
R cs1 0039 = 0001  done
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done  (x2)
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done  (x2)
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
R cs1 0039 = 0001  done
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
R cs1 0039 = 0001  done
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
R cs1 0039 = 0001  done
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
R cs1 0039 = 0001  done
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done  (x2)
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
R cs1 0039 = 0001  done
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
R cs1 0039 = 0001  done
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
R cs1 0039 = 0001  done
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
R cs1 0039 = 0001  done
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
R cs1 0039 = 0001  done
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
R cs1 0039 = 0001  done
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
R cs1 0039 = 0001  done
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done  (x2)
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
R cs1 0039 = 0001  done
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done  (x2)
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
R cs1 0039 = 0001  done
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
R cs1 0039 = 0001  done
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done  (x2)
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
R cs1 0039 = 0001  done
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
R cs1 0039 = 0001  done
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
R cs1 0039 = 0001  done
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done  (x2)
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
R cs1 0039 = 0001  done
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
R cs1 0039 = 0001  done
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
R cs1 0039 = 0001  done
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
R cs1 0039 = 0001  done
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done  (x2)
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
R cs1 0039 = 0001  done
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done  (x2)
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done  (x2)
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done  (x2)
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
R cs1 0039 = 0001  done
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
R cs1 0039 = 0001  done
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
R cs1 0039 = 0001  done
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done  (x2)
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
R cs1 0039 = 0001  done
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done  (x2)
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
R cs1 0039 = 0001  done
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done  (x2)
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done  (x2)
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
R cs1 0039 = 0001  done
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
R cs1 0039 = 0001  done
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done  (x2)
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
R cs1 0039 = 0001  done
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done  (x2)
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done  (x2)
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done  (x2)
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
R cs1 0039 = 0001  done
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
W cs1 003e = 0000  config write
R cs1 0039 = 0001  done
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
R cs1 0039 = 0001  done
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
R cs1 0039 = 0001  done
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
R cs1 0039 = 0001  done
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done  (x2)
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
R cs1 0039 = 0001  done
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done  (x2)
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
R cs1 0039 = 0001  done
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done  (x2)
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done  (x2)
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done  (x2)
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
R cs1 0039 = 0001  done
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
R cs1 0039 = 0001  done
W cs1 0016 = 0001  cal/level latch strobe
W cs1 003e = 0000  config write
R cs1 0039 = 0001  done
W cs1 0058 = 0000  config write
R cs1 0039 = 0001  done
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
R cs1 0039 = 0001  done
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done  (x2)
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
R cs1 0039 = 0001  done
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
R cs1 0039 = 0001  done
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done  (x2)
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
R cs1 0039 = 0001  done
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done  (x2)
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
R cs1 0039 = 0001  done
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
R cs1 0039 = 0001  done
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
R cs1 0039 = 0001  done
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
R cs1 0039 = 0001  done
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
R cs1 0039 = 0001  done
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
R cs1 0039 = 0001  done
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
R cs1 0039 = 0001  done
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
R cs1 0039 = 0001  done
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
R cs1 0039 = 0001  done
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
W cs1 003d = 0008  config write
W cs1 0016 = 0001  cal/level latch strobe
R cs1 0039 = 0001  done  (x2)
W cs1 003e = 0000  config write
W cs1 0058 = 0000  config write
W cs1 003c = 0002  config write
